video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/u8S4nI0GvUI,/@JustinWhangYt,Whang!,New Mexico is a foreign country - Internet Shorts,2M,2 years,Tales From the Internet now on Facebook! http://www.facebook.com/whangyoutube Get Your New PC at ...,2026-01-14 21:48:23.606077
/shorts/CGMLXEd9qNs,/@K10_Productions,K10Productions,U.S. States - New Mexico #maps #flags #minecraft #newmexico #albuquerque #breakingbad,8.8K,1 year,Help from @LuckyPast @Rockyforever1.,2026-01-14 21:48:23.608161
/shorts/beK7o4-e4kg,/@msnow,MS NOW,'I'm afraid... we need to eat': New Mexico residents fear losing SNAP benefits,171K,2 months,"In the state of New Mexico, 460000 people rely on SNAP benefits, 21% of its population. This participation rate is the highest in ...",2026-01-14 21:48:23.608690
/shorts/D6abSgitFyY,/@DosageTrend,Dosage,8 Crazy Facts From New Mexico You Never Knew #usahistory #facts #history,24K,10 months,Eight crazy facts from New Mexico you never knew the last one will blow your mind number one New Mexico's official state ...,2026-01-14 21:48:23.609581
/watch?v=1lDx1tx0tSI&pp=ygUKbmV3IG1leGljbw%3D%3D,/@ThroughMyLens,Through My Lens,"6 Things to do in Roswell, New Mexico",122K,4 years,Roswell is a city in southeast New Mexico that is famous for its part in the alleged UFO incident of 1947. Because of this ...,2026-01-14 21:48:23.610366
/watch?v=sjLao0RHKIM&pp=ygUKbmV3IG1leGljbw%3D%3D,/@FoodNetwork,Food Network,"Guy Fieri Has Off-the-Hook New Mexican Food in Santa Fe | Diners, Drive-Ins and Dives | Food Network",106K,1 year,Guy returns to a Santa Fe pub that first blew him away back in 2019. This spot is serving up traditional New Mexican food with a ...,2026-01-14 21:48:23.610944
/shorts/z7DzX3S3kss,/@SaadAliArts,Saad Ali Arts ,New Mexico flag map drawing,11K,1 year,Join this channel to get access to perks: https://www.youtube.com/channel/UCeEpmOPmHRd0K4t5n9ZRQYg/join.,2026-01-14 21:48:23.611414
/watch?v=bRPOAtHq5kU&pp=ygUKbmV3IG1leGljb9IHCQlNCgGHKiGM7w%3D%3D,/@ThroughMyLens,Through My Lens,"Texas & New Mexico 5 Day Road Trip: Caves, Aliens, Ghost Towns & National Parks",1.5M,4 years,"Southeast New Mexico and West Texas are home to multiple national parks and tons of fun cities like El Paso, Roswell, Las ...",2026-01-14 21:48:23.612156
/watch?v=dklyjeXWr8o&pp=ygUKbmV3IG1leGljbw%3D%3D,/@CityGeek,City Geek,"Las Cruces Overview | An informative introduction to Las Cruces, New Mexico",91K,3 years,Las Cruces is a fascinating city. It is New Mexico's second largest city and has a lot that makes it a unique city today. I lived in Las ...,2026-01-14 21:48:23.613403
/watch?v=2P_rCxbEcVI&pp=ygUKbmV3IG1leGljbw%3D%3D,/@SmithsonianChannel,Smithsonian Channel,Georgia O'Keeffe's New Mexico,34K,13 years,"The famous American painter Georgia O'Keeffe found inspiration in New Mexico, repeatedly painting its natural and manmade ...",2026-01-14 21:48:23.614373
/watch?v=MeCeO1P2XKE&pp=ygUKbmV3IG1leGljbw%3D%3D,/@mountainwest,MountainWestConf,#MWMBB HIGHLIGHTS: New Mexico's 91-49 win over Air Force,1K,3 days,MWMBB Highlights from New Mexico's 91-49 win over Air Force.,2026-01-14 21:48:23.614847
